bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0549,0.0665418,68.27,67.21,70.42
0550,0.06151372,63.11,62.13,65.47
0551,0.0569716,58.45,57.54,60.99
0552,0.06922833,71.03,69.92,73.07
0553,0.05099877,52.32,51.51,55.11
0554,0.05839111,59.91,58.98,62.39
0555,0.05350458,54.9,54.04,57.58
0556,0.058467,59.99,59.05,62.47
0557,0.06546251,67.16,66.12,69.36
0558,0.06175723,63.36,62.37,65.71
0559,0.05489072,56.32,55.44,58.94
0560,0.05972163,61.27,60.32,63.7
0561,0.05446901,55.89,55.01,58.53
0562,0.05932748,60.87,59.92,63.31
0563,0.06890649,70.7,69.6,72.75
0564,0.05029984,51.61,50.8,54.42
0565,0.06748067,69.24,68.16,71.35
0566,0.0639196,65.58,64.56,67.84
0567,0.05017515,51.48,50.68,54.3
0568,0.05315016,54.53,53.68,57.23
0569,0.05181069,53.16,52.33,55.91
0570,0.04414834,45.3,44.59,48.36
0571,0.06360069,65.25,64.24,67.52
0572,0.07720169,79.21,77.97,80.92
0573,0.05855273,60.08,59.14,62.55
0574,0.04941978,50.7,49.91,53.55
0575,0.05695495,58.44,57.52,60.98
0576,0.0735274,75.44,74.26,77.3
0577,0.05459851,56.02,55.14,58.66
0578,0.04913262,50.41,49.62,53.27
0579,0.05226751,53.63,52.79,56.36
0580,0.05160167,52.94,52.12,55.7
0581,0.05590349,57.36,56.46,59.94
0582,0.05802666,59.54,58.61,62.03
0583,0.05963804,61.19,60.23,63.62
0584,0.06484412,66.53,65.49,68.75
0585,0.05101643,52.34,51.53,55.13
0586,0.06631128,68.04,66.97,70.2
0587,0.04915041,50.43,49.64,53.29
0588,0.05085708,52.18,51.37,54.97
0589,0.06467681,66.36,65.32,68.59
0590,0.05408701,55.49,54.63,58.15
0591,0.05671407,58.19,57.28,60.74
0592,0.05213938,53.5,52.66,56.23
0593,0.05676975,58.25,57.34,60.79
0594,0.05806287,59.57,58.64,62.07
0595,0.0512049,52.54,51.72,55.31
0596,0.06037855,61.95,60.98,64.35
0597,0.05145684,52.79,51.97,55.56
0598,0.05687466,58.35,57.44,60.9
0599,0.05180258,53.15,52.32,55.9
0600,0.08334046,85.51,84.17,86.97
0601,0.06154854,63.15,62.16,65.5
0602,0.06056024,62.13,61.17,64.53
0603,0.08930814,91.63,90.2,92.85
0604,0.06379737,65.46,64.44,67.72
0605,0.06275013,64.38,63.38,66.69
0606,0.06113243,62.72,61.74,65.09
0607,0.05845949,59.98,59.04,62.46
0608,0.06937677,71.18,70.07,73.22
0609,0.05820594,59.72,58.79,62.21
0610,0.05017195,51.48,50.67,54.29
0611,0.0599813,61.54,60.58,63.96
0612,0.05347631,54.87,54.01,57.55
0613,0.05362029,55.01,54.16,57.69
0614,0.05027961,51.59,50.78,54.4
0615,0.0743837,76.32,75.13,78.15
0616,0.04608057,47.28,46.54,50.26
0617,0.059,60.53,59.59,62.99
0618,0.05204303,53.4,52.56,56.14
0619,0.06716816,68.91,67.84,71.04
0620,0.06180714,63.41,62.43,65.76
0621,0.05679351,58.27,57.36,60.82
0622,0.05800325,59.51,58.58,62.01
0623,0.06092638,62.51,61.54,64.89
0624,0.05440022,55.81,54.94,58.46
0625,0.07240168,74.28,73.13,76.2
0626,0.06151739,63.12,62.13,65.47
0627,0.06046973,62.04,61.07,64.44
0628,0.05067932,52.0,51.19,54.79
0629,0.06347711,65.13,64.11,67.4
0630,0.06190026,63.51,62.52,65.85
0631,0.06208074,63.69,62.7,66.03
0632,0.05036148,51.67,50.87,54.48
0633,0.05400186,55.41,54.54,58.07
0634,0.0611728,62.76,61.78,65.13
0635,0.05117931,52.51,51.69,55.29
0636,0.05355607,54.95,54.09,57.63
0637,0.05030273,51.61,50.81,54.42
0638,0.06141762,63.01,62.03,65.37
0639,0.06541367,67.11,66.07,69.31
0640,0.06270629,64.34,63.33,66.64
0641,0.06107985,62.67,61.69,65.04
0642,0.0800566,82.14,80.86,83.74
0643,0.07121814,73.07,71.93,75.03
0644,0.06137705,62.97,61.99,65.33
0645,0.05682235,58.3,57.39,60.85
0646,0.04696809,48.19,47.44,51.14
0647,0.0521849,53.54,52.71,56.28
0648,0.05900957,60.54,59.6,63.0
0649,0.05244754,53.81,52.97,56.54
0650,0.05327668,54.66,53.81,57.35
0651,0.07630239,78.29,77.07,80.04
0652,0.07234864,74.23,73.07,76.14
0653,0.05720442,58.69,57.78,61.22
0654,0.05918621,60.73,59.78,63.18
0655,0.06782336,69.59,68.5,71.69
0656,0.07949195,81.56,80.29,83.18
0657,0.071589,73.45,72.3,75.4
0658,0.0689813,70.77,69.67,72.83
0659,0.05920931,60.75,59.8,63.2
